income_stability,average_eligible_emi,average_usable_salary,average_monthly_credit,employer_category,employment_tenure_years,average_month_end_balance,bounce_count,gambling_transaction_count,active_loans_count,has_credit_card,has_personal_loan,has_home_loan,credit_exposure_intensity,average_obligation_to_income_ratio,credit_score
STABLE,77477.32,161878,183594.41,Category C (Partnership/Proprietorship),1.18,191772.05,0,0,5,1,1,1,6,58.01,690
STABLE,86789.03,189374,391798.1,Category B (Private Ltd),3.44,131484.47,0,0,2,0,0,1,3,33.15,733
STABLE,104628.06,193675,572864.09,Category C (Partnership/Proprietorship),10.09,551638.39,0,0,4,1,1,1,5,18.85,744
STABLE,24784.25,49986,73797.61,Category A (MNC/Govt/PSU),1.39,215306.85,0,0,4,1,1,1,5,27.42,736
FLUCTUATING,136356.33,278294,687889.68,Category C (Partnership/Proprietorship),0.65,914485.97,0,0,4,0,1,1,5,38.55,647
STABLE,82927.56,217990,490106.44,Category B (Private Ltd),4.02,351712.84,1,0,0,0,0,0,1,58.09,733
FLUCTUATING,80577.74,227215,447512.83,Category B (Private Ltd),6.77,484476.96,0,0,5,1,1,1,6,21.24,708
STABLE,75853.17,198456,418415.9,Category B (Private Ltd),8.85,50165.7,0,0,5,1,1,1,5,60.78,697
STABLE,20424.66,57924,163856.8,Category B (Private Ltd),2.42,24642.99,0,0,2,0,0,1,2,61.27,687
STABLE,75030.58,194074,332127.65,Category C (Partnership/Proprietorship),1.76,482282.03,0,0,4,1,1,1,5,28.27,708
STABLE,59399.11,124130,136896.97,Category B (Private Ltd),4.54,484153.99,0,0,0,0,0,0,0,52.12,758
STABLE,92151.76,285494,329897.08,Category A (MNC/Govt/PSU),17.16,5503.88,0,0,0,0,0,0,0,77.15,659
STABLE,74734.24,161563,443634.5,Category C (Partnership/Proprietorship),8.21,569174.74,0,0,0,0,0,0,1,28.8,764
STABLE,22699.94,47641,142861.4,Category B (Private Ltd),3.2,37088.92,0,0,1,0,0,0,1,90.26,631
FLUCTUATING,129938.8,297654,608663.48,Category B (Private Ltd),5.25,860592.29,0,0,2,0,0,1,3,47.49,712
STABLE,48064.92,104071,268653.7,Category A (MNC/Govt/PSU),4.92,328462.99,0,0,1,0,1,0,2,11.81,771
STABLE,137621.65,236577,614524.48,Unlisted,2.16,503735.93,0,0,3,0,0,1,3,43.85,730
STABLE,135633.07,260195,384452.24,Category A (MNC/Govt/PSU),2.19,422108.88,0,0,0,0,0,0,0,93.96,679
STABLE,66888.93,132744,190687.79,Unlisted,7.72,6316.26,1,0,2,0,0,0,3,62.14,562
FLUCTUATING,75113.38,203283,586565.69,Category B (Private Ltd),4.68,265734.61,0,0,0,0,0,0,1,76.26,634
FLUCTUATING,49492.02,83781,231869.93,Unlisted,26.4,3825.59,0,0,2,0,0,1,3,49.39,567
STABLE,114145.52,200792,546205.17,Category B (Private Ltd),2.48,499580.29,0,0,1,0,1,0,1,37.97,756
STABLE,38501.9,91121,159040.5,Category A (MNC/Govt/PSU),6.43,53672.26,0,0,4,1,1,1,4,82.35,646
FLUCTUATING,7089.94,12396,26560.14,Category B (Private Ltd),3.92,46147.43,0,0,0,0,0,0,0,83.72,554
STABLE,98196.01,192828,455128.37,Category B (Private Ltd),6.99,17215.37,1,0,1,0,1,0,2,79.7,625
FLUCTUATING,55761.23,102241,272397.46,Category B (Private Ltd),0.03,323209.28,3,0,1,0,1,0,2,10.77,557
FLUCTUATING,81641.02,212053,219868.31,Category B (Private Ltd),9.17,225112.74,0,0,3,1,0,0,4,75.52,640
STABLE,101617.66,191264,462312.63,Category B (Private Ltd),0.3,16585.9,3,0,3,0,0,1,4,65.04,534
FLUCTUATING,72926.55,228118,602921.78,Category A (MNC/Govt/PSU),8.54,46750.85,0,0,3,1,1,0,3,18.69,673
STABLE,28400.01,51846,82785.04,Category C (Partnership/Proprietorship),7.41,43053.36,1,0,3,1,0,0,3,90.21,577
FLUCTUATING,81508.96,194403,301019.52,Unlisted,2.63,253459.15,0,0,0,0,0,0,1,41.32,626
STABLE,56406.46,95530,130976.51,Category C (Partnership/Proprietorship),7.49,406476.28,0,0,3,0,1,0,3,87.51,672
STABLE,58080.21,132413,132739.22,Category B (Private Ltd),4.67,381399.87,0,0,5,1,1,1,6,37.7,735
FLUCTUATING,157366.61,264346,343428.09,Category B (Private Ltd),5.7,1289627.63,0,0,0,0,0,0,0,90.98,620
STABLE,91334.05,174053,224849.35,Category A (MNC/Govt/PSU),4.23,9296.53,0,0,1,0,0,1,2,16.16,687
STABLE,60428.66,186076,492920.55,Category A (MNC/Govt/PSU),1.94,216615.47,0,0,1,0,0,0,1,66.98,697
STABLE,139632.81,245458,537443.37,Category B (Private Ltd),4.75,1150944.88,1,0,3,0,1,1,4,62.04,675
STABLE,50379.24,108511,285882.6,Category B (Private Ltd),5.16,402752.65,0,0,3,0,0,1,3,50.74,768
STABLE,71051.28,161094,400891.78,Category C (Partnership/Proprietorship),2.84,3954.94,0,0,4,1,0,1,5,56.11,634
STABLE,141688.61,281757,321678.5,Category A (MNC/Govt/PSU),10.4,1401825.36,0,0,3,1,1,0,3,39.4,863
STABLE,25353.68,82099,147041.8,Category B (Private Ltd),4.55,274542.74,3,0,4,0,1,1,5,42.63,635
STABLE,12637.25,29975,66056.23,Category B (Private Ltd),2.33,65421.93,0,0,5,1,1,1,6,44.43,719
STABLE,53264.61,111459,147911.41,Category A (MNC/Govt/PSU),17.44,373648.02,0,0,3,1,0,1,3,30.15,780
FLUCTUATING,15229.2,43397,88510.26,Category A (MNC/Govt/PSU),8.83,60487.98,0,0,5,1,1,1,6,42.25,656
FLUCTUATING,127278.49,287707,773454.49,Category C (Partnership/Proprietorship),4.4,341806.79,0,0,1,1,0,0,1,55.15,652
STABLE,66171.34,180102,244942.48,Category A (MNC/Govt/PSU),0.55,630968.94,0,0,2,0,0,0,2,11.48,770
STABLE,68286.94,156470,317820.62,Category B (Private Ltd),5.5,1986.8,0,0,1,1,0,0,2,67.24,623
STABLE,71148.59,164268,449483.98,Category A (MNC/Govt/PSU),5.9,777669.07,0,0,0,0,0,0,1,83.86,689
FLUCTUATING,99055.61,183895,521775.51,Category B (Private Ltd),14.14,625512.09,0,0,1,0,1,0,2,61.42,673
FLUCTUATING,128071.78,228200,585280.73,Category B (Private Ltd),6.71,488319.14,0,0,5,1,1,1,6,74.79,658
STABLE,15145.47,27772,34448.89,Category B (Private Ltd),0.03,54405.77,0,0,3,1,1,0,3,48.14,716
STABLE,28967.6,89973,198561.16,Category B (Private Ltd),4.83,182012.84,1,0,5,1,1,1,6,12.18,719
STABLE,123283.85,293780,634666.08,Category B (Private Ltd),4.68,1205182.96,0,0,4,0,1,1,4,26.64,761
FLUCTUATING,80243.45,138803,155533.59,Unlisted,2.17,7457.67,0,0,2,0,0,0,2,78.26,543
STABLE,60287.52,124793,303534.18,Category A (MNC/Govt/PSU),2.67,3282.49,0,0,4,1,1,1,4,70.27,621
FLUCTUATING,81140.28,215244,629772.46,Category B (Private Ltd),8.2,87901.38,0,0,5,1,1,1,6,53.79,681
STABLE,23406.83,47384,63946.93,Category A (MNC/Govt/PSU),11.82,136080.11,0,0,2,1,1,0,3,46.02,749
FLUCTUATING,119054.55,244386,465197.39,Category B (Private Ltd),0.92,1060983.73,0,0,4,1,1,0,4,29.57,668
STABLE,25637.79,67993,153938.26,Category A (MNC/Govt/PSU),0.76,208454.65,0,0,4,1,0,1,4,71.58,702
UNSTABLE,49350.61,86329,219728.49,Category A (MNC/Govt/PSU),5.18,183509.73,0,0,3,0,1,0,3,54.12,661
STABLE,67141.59,145327,401125.51,Category B (Private Ltd),3.81,261357.41,0,2,1,0,0,0,2,57.41,627
STABLE,66428.7,141733,413187.21,Category A (MNC/Govt/PSU),5.86,392880.03,0,0,3,0,1,1,3,35.57,759
FLUCTUATING,99979.46,241055,298825.76,Unlisted,0.1,937530.16,0,0,3,0,0,1,4,31.85,642
FLUCTUATING,62715.53,129968,261713.55,Category A (MNC/Govt/PSU),0.33,3959.11,0,0,1,1,0,0,1,30.32,570
STABLE,18453.45,48067,138662.43,Category C (Partnership/Proprietorship),0.88,142183.12,0,0,3,0,1,1,3,43.76,692
FLUCTUATING,22399.17,44594,92084.93,Category C (Partnership/Proprietorship),0.76,184170.01,0,0,2,1,0,1,3,29.01,645
UNSTABLE,23063.86,39984,78933.37,Category B (Private Ltd),7.24,2208.35,0,0,4,1,1,1,5,15.79,562
STABLE,24630.42,41822,87786.85,Unlisted,2.83,109970.15,0,0,5,1,1,1,6,28.36,697
STABLE,80835.51,233894,262592.62,Category C (Partnership/Proprietorship),3.08,23281.33,0,0,0,0,0,0,0,30.33,656
STABLE,89387.85,235469,319185.95,Category B (Private Ltd),4.81,305802.2,0,0,4,1,1,1,5,65.74,679
STABLE,17856.81,42371,97798.69,Category A (MNC/Govt/PSU),3.73,44449.65,0,0,1,0,0,1,2,50.91,727
FLUCTUATING,82829.53,164249,226563.38,Category B (Private Ltd),1.95,528985.96,0,0,3,1,0,0,3,19.33,702
STABLE,162984.36,294564,352347.19,Category B (Private Ltd),0.81,1101467.28,0,0,3,1,1,0,3,49.05,742
UNSTABLE,20947.01,63352,146810.93,Unlisted,8.27,2226.39,1,0,4,1,1,1,5,64.16,415
STABLE,112861.96,229861,512099.78,Category A (MNC/Govt/PSU),3.65,17554.26,0,0,4,1,1,1,5,17.21,680
STABLE,12238.68,38082,39004.23,Unlisted,6.69,61821.21,0,0,2,0,0,0,3,40.16,720
STABLE,63041.96,114797,130573.05,Category B (Private Ltd),0.43,518276.77,0,0,0,0,0,0,1,66.72,708
STABLE,40718.9,107661,122572.98,Unlisted,3.25,188044.41,0,0,1,0,0,0,2,51.31,719
FLUCTUATING,35689.68,105457,176802.35,Unlisted,1.27,239805.95,0,0,5,1,1,1,6,30.46,643
STABLE,46451.36,94080,147876.22,Category C (Partnership/Proprietorship),9.88,433788.52,0,0,4,1,1,0,5,81.57,656
STABLE,117227.44,235942,319667.8,Category B (Private Ltd),20.89,96083.59,0,0,3,0,0,1,3,92.04,669
STABLE,12309.79,30567,55840.8,Category C (Partnership/Proprietorship),6.8,21655.72,0,0,3,1,1,0,3,84.56,594
STABLE,23988.09,51321,134640.87,Category C (Partnership/Proprietorship),10.66,58042.95,1,0,0,0,0,0,1,73.1,638
STABLE,84345.26,166570,291584.08,Category B (Private Ltd),3.71,704895.44,0,0,0,0,0,0,1,74.49,735
STABLE,90436.85,230894,635720.8,Unlisted,2.3,846443.67,1,0,4,1,1,0,5,45.07,653
STABLE,43764.38,90073,154113.64,Category C (Partnership/Proprietorship),0.49,225963.42,0,0,1,0,1,0,1,69.75,699
STABLE,14094.62,26029,40075.33,Category C (Partnership/Proprietorship),3.45,397.45,0,0,5,1,1,1,5,77.03,568
STABLE,110617.07,277613,518591.84,Category A (MNC/Govt/PSU),1.25,1035824.89,3,0,4,1,1,1,4,45.81,616
STABLE,46314.55,138046,251217.46,Category C (Partnership/Proprietorship),2.42,417077.4,0,0,1,0,0,0,1,12.23,738
STABLE,91271.92,238981,486602.96,Category A (MNC/Govt/PSU),14.12,540659.31,1,0,4,1,0,1,5,78.22,709
UNSTABLE,124939.68,255317,280768.03,Unlisted,12.01,59677.84,0,0,3,0,1,1,4,43.9,614
STABLE,45190.04,142503,222928.01,Category A (MNC/Govt/PSU),1.42,199193.79,0,0,1,0,0,0,1,76.02,700
STABLE,86045.54,277491,312262.4,Unlisted,0.75,603059.78,0,0,1,0,1,0,2,66.42,676
STABLE,144396.51,248511,274484.32,Category B (Private Ltd),1.51,1220245.18,0,0,1,0,0,0,1,58.05,757
STABLE,34885.1,72292,122825.03,Category A (MNC/Govt/PSU),0.82,101544.23,1,0,0,0,0,0,1,19.76,658
STABLE,93085.09,290618,702037.24,Category B (Private Ltd),0.43,734258.63,0,0,0,0,0,0,1,18.29,751
STABLE,36759.33,79286,89160.77,Category B (Private Ltd),8.21,35630.46,0,0,4,0,1,1,5,56.31,702
FLUCTUATING,5701.74,15774,43467.78,Category C (Partnership/Proprietorship),10.22,37320.48,3,0,2,0,1,0,3,15.54,524
STABLE,14038.57,33648,87373.37,Category A (MNC/Govt/PSU),3.0,21815.96,0,0,3,1,1,0,4,17.99,716
FLUCTUATING,106975.87,271716,620965.97,Category A (MNC/Govt/PSU),11.36,638123.43,0,0,2,1,0,0,2,87.02,647
STABLE,92678.62,260870,727300.19,Category B (Private Ltd),0.82,822635.42,0,0,3,1,0,0,3,52.94,747
UNSTABLE,24911.7,41852,97759.58,Category B (Private Ltd),0.91,94248.63,0,0,0,0,0,0,0,54.83,651
FLUCTUATING,53524.21,165289,407105.65,Category A (MNC/Govt/PSU),9.77,462116.64,0,0,2,1,1,0,3,79.84,680
STABLE,99826.09,222695,591588.93,Category A (MNC/Govt/PSU),0.95,927456.85,0,0,3,1,0,1,4,39.58,756
STABLE,21728.77,43866,98341.31,Category A (MNC/Govt/PSU),9.21,214930.4,0,0,1,1,0,0,2,36.77,770
STABLE,48005.51,86229,125407.93,Category C (Partnership/Proprietorship),1.64,304554.17,0,0,4,1,1,0,4,74.87,694
STABLE,110217.13,196339,497155.78,Category C (Partnership/Proprietorship),5.47,894233.07,0,0,2,0,1,0,3,48.0,726
STABLE,44782.89,96516,169945.48,Unlisted,0.59,38772.26,0,0,5,1,1,1,6,70.15,634
UNSTABLE,126947.53,249017,667097.07,Unlisted,4.86,800724.85,0,0,3,1,1,0,4,28.57,624
STABLE,19921.96,53472,54798.54,Category B (Private Ltd),1.79,86985.12,0,0,3,0,1,1,3,86.75,637
FLUCTUATING,25992.51,73095,84639.5,Category A (MNC/Govt/PSU),7.91,4564.97,3,0,4,1,1,1,4,31.45,487
STABLE,150350.87,288432,591423.91,Category A (MNC/Govt/PSU),10.15,27696.45,0,0,3,0,1,1,4,46.94,709
STABLE,104412.44,298793,400730.36,Unlisted,2.95,977084.99,0,0,3,1,1,1,4,76.87,660
STABLE,128015.23,289713,859775.66,Category A (MNC/Govt/PSU),2.61,62004.65,0,0,2,0,1,0,3,30.3,721
UNSTABLE,95863.92,216940,487038.85,Category B (Private Ltd),2.97,658665.36,0,0,0,0,0,0,1,80.83,592
STABLE,130152.42,275972,558935.88,Category A (MNC/Govt/PSU),13.42,170563.19,0,0,2,0,0,1,2,53.13,753
STABLE,16447.39,32207,96158.3,Category A (MNC/Govt/PSU),1.61,71653.34,0,0,4,1,1,0,4,61.67,699
STABLE,120330.65,205161,542116.72,Category A (MNC/Govt/PSU),5.06,6808.2,0,0,1,0,0,0,2,19.73,679
FLUCTUATING,122039.71,297139,369061.5,Category B (Private Ltd),6.96,5115.6,0,0,4,1,0,1,4,64.95,568
STABLE,35895.89,74200,203856.87,Category C (Partnership/Proprietorship),0.64,38504.64,0,0,0,0,0,0,0,45.87,668
STABLE,89668.55,189510,206087.98,Category A (MNC/Govt/PSU),4.09,701193.2,0,0,5,1,1,1,5,46.54,744
STABLE,94640.85,246677,622569.52,Category B (Private Ltd),16.88,1088134.61,0,0,2,0,0,1,3,11.05,820
STABLE,24699.5,78803,198884.09,Unlisted,2.08,159085.08,0,0,2,1,0,0,3,60.66,662
STABLE,135499.22,294996,791606.05,Category B (Private Ltd),4.1,7393.3,2,0,2,0,0,0,2,91.94,480
STABLE,5442.52,17597,31251.81,Category A (MNC/Govt/PSU),0.12,42248.82,0,0,0,0,0,0,0,91.25,609
STABLE,78982.61,164245,435810.1,Unlisted,1.7,339907.18,0,0,3,1,1,1,3,23.1,701
STABLE,9808.16,18556,49494.42,Category B (Private Ltd),1.8,21046.11,0,0,0,0,0,0,1,80.61,573
STABLE,52205.72,109931,329730.08,Category A (MNC/Govt/PSU),8.48,434828.11,0,0,5,1,1,1,5,77.36,743
STABLE,49901.23,160023,312219.61,Category B (Private Ltd),1.29,730566.14,0,0,3,1,0,1,4,21.11,743
STABLE,9518.65,17684,27437.35,Category C (Partnership/Proprietorship),14.42,913.22,3,0,1,0,0,0,1,35.71,498
STABLE,114222.38,274598,555388.44,Category B (Private Ltd),4.31,1347603.1,0,0,3,0,1,1,3,91.26,672
UNSTABLE,61273.63,110167,206926.64,Category C (Partnership/Proprietorship),11.18,9861.25,0,0,5,1,1,1,5,88.74,505
FLUCTUATING,131580.04,259877,635506.83,Category B (Private Ltd),0.72,499440.59,0,0,5,1,1,1,5,77.44,634
UNSTABLE,169134.44,282647,333417.27,Category A (MNC/Govt/PSU),0.23,915196.96,0,0,4,1,1,0,5,65.98,610
FLUCTUATING,50982.62,156110,308357.15,Category A (MNC/Govt/PSU),2.62,80685.02,0,0,3,1,0,1,3,90.55,578
STABLE,83883.2,215157,248231.83,Category B (Private Ltd),7.91,94902.49,0,0,3,1,0,1,4,33.89,730
STABLE,140134.61,245062,402634.76,Category B (Private Ltd),1.28,1200585.54,0,0,0,0,0,0,0,20.45,754
FLUCTUATING,21082.08,48333,127737.54,Category B (Private Ltd),5.07,117121.93,0,0,5,1,1,1,6,54.21,667
UNSTABLE,89213.09,212193,279510.87,Category C (Partnership/Proprietorship),8.68,319016.44,0,0,0,0,0,0,1,76.56,638
STABLE,170081.38,299061,647925.54,Category B (Private Ltd),2.08,178549.65,1,0,2,0,0,1,2,58.02,672
STABLE,72016.7,123550,227921.22,Category A (MNC/Govt/PSU),13.77,93516.09,0,0,3,1,0,1,3,81.76,682
STABLE,86227.75,153252,209283.15,Category A (MNC/Govt/PSU),0.69,725052.85,0,0,2,0,0,1,3,94.95,683
STABLE,26833.24,64575,176395.67,Category B (Private Ltd),0.59,251826.16,0,0,4,1,1,1,5,56.93,704
FLUCTUATING,17281.1,30808,75818.26,Category B (Private Ltd),7.95,11476.15,0,0,3,0,1,1,4,72.65,613
STABLE,148569.47,289067,404240.12,Category C (Partnership/Proprietorship),1.69,138417.24,0,0,3,1,1,0,3,81.02,608
STABLE,103884.87,258933,268942.12,Category A (MNC/Govt/PSU),2.67,554269.59,0,0,4,1,0,1,4,84.6,693
STABLE,123429.13,233461,445872.64,Category A (MNC/Govt/PSU),1.24,20344.18,0,0,5,1,1,1,5,20.22,668
STABLE,20924.49,39336,80084.99,Category A (MNC/Govt/PSU),2.32,1454.73,0,0,2,1,0,1,2,56.49,623
FLUCTUATING,16687.2,38151,68519.6,Category A (MNC/Govt/PSU),0.34,52789.44,0,0,3,1,1,0,4,59.49,628
UNSTABLE,70251.66,152980,352146.91,Category B (Private Ltd),4.12,181114.52,0,0,0,0,0,0,1,82.01,573
STABLE,96598.05,196823,349622.88,Category B (Private Ltd),1.5,906159.72,0,0,0,0,0,0,1,15.29,755
UNSTABLE,102633.56,278083,302867.88,Category B (Private Ltd),1.8,528492.65,1,0,5,1,1,1,6,88.94,544
STABLE,22914.6,53309,57989.52,Category A (MNC/Govt/PSU),2.95,23450.59,0,1,4,1,1,0,5,82.57,575
STABLE,13762.73,38328,111260.8,Unlisted,6.22,112446.34,0,0,2,0,0,0,2,16.21,714
STABLE,49409.34,138389,357761.89,Unlisted,14.39,374066.33,2,0,4,0,1,1,5,50.54,638
STABLE,54908.86,103783,281294.89,Category B (Private Ltd),9.02,208555.11,0,0,4,0,1,1,5,78.69,729
FLUCTUATING,70897.42,215743,400721.92,Category A (MNC/Govt/PSU),3.28,165865.94,0,0,2,0,0,0,3,94.43,608
